teks,location,bulan,word_length,clean,clean_stem,sentiment,sentiment_text,num_sentimen_lexicon,cleaned
asu i piye to jane  seng i vaksin e opo sertifikat e ,Jawa Timur,Mei,11,asu i piye to jane seng i e opo sertifikat e,asu i piye to jane seng i e opo sertifikat e,-8,negative,2,asu i piye to jane seng i vaksin e opo sertifikat e
ayo    sehatkan tua sukseskan vaksinasi lansia keraguan   vaksin  aman amp  halal   jagoan palembang jago palembang    polripresisi  polisidulurkito  divhumaspolri  polisisumsel  irvanprawira  palembangpolice https  ,Sumatera Selatan,Maret,20,ayo sehatkan tua sukseskan usia keraguan aman amp halal jagoan palembang jago palembang polripresisi polisidulurkito divhumaspolri polisisumsel irvanprawira palembangpolice,ayo sehat tua sukses usia ragu aman amp halal jago palembang jago palembang polripresisi polisidulurkito divhumaspolri polisisumsel irvanprawira palembangpolice,10,positive,1,ayo sehat tua sukses vaksinasi lansia ragu vaksin aman amp halal jago palembang jago palembang polripresisi polisidulurkito divhumaspolri polisisumsel irvanprawira palembangpolice
 sugarrrbabbyyyy sakitan ditusuk delep ditusuk vaksin ,Kalimantan Selatan,Maret,5,sugarrrbabby sakitan ditusuk delep ditusuk,sugarrrbabby sakit tusuk delep tusuk,-13,negative,2,sugarrrbabbyyyy sakit tusuk delep tusuk vaksin
vaksin 😀😀😀  raffiahmad https  ,Jambi,Januari,1,raffiahmad,raffiahmad,0,neutral,0,vaksin raffiahmad
suntikan vaksin tidak membatalkan puasa    tppkemendes  pusatppmd  tppisumut  batutppi  halimiskandarnu  jokowi  fachrilabalado  yusradaridesa  imansyukri      meanstoruski  rizkyaphrp       https  ,Sumatera Utara,April,14,suntikan membatalkan puasa tppkemendes pusatppmd tppisumut batutppi halimiskandarnu jokowi fachrilabalado yusradaridesa imansyukri meanstoruski rizkyaphrp,sunti batal puasa tppkemendes pusatppmd tppisumut batutppi halimiskandarnu jokowi fachrilabalado yusradaridesa imansyukri meanstoruski rizkyaphrp,-7,negative,2,sunti vaksin tidak batal puasa tppkemendes pusatppmd tppisumut batutppi halimiskandarnu jokowi fachrilabalado yusradaridesa imansyukri meanstoruski rizkyaphrp
polisi keren contoh terbaik dg vaksin  vaksinasianggotapolri https  ,Kalimantan Selatan,Maret,6,polisi keren contoh terbaik dg vaksinasianggotapolri,polisi keren contoh baik dg vaksinasianggotapolri,3,positive,1,polisi keren contoh baik dg vaksin vaksinasianggotapolri
knp mikir foto pas vaksin   ,Jawa Barat,Maret,3,mikir foto pas,mikir foto pas,8,positive,1,knp mikir foto pas vaksin
 tkohhock so berita penang is first fpt vaksin is isu bohong,Aceh,Februari,10,tkohhock so berita penang is first fpt is isu bohong,tkohhock so berita nang is first fpt is isu bohong,-13,negative,2,tkohhock so berita nang is first fpt vaksin is isu bohong
   fadlizon vaksin obat mujarab,Jambi,Januari,3,fadlizon obat mujarab,fadlizon obat mujarab,1,positive,1,fadlizon vaksin obat mujarab
 zeerooreo  jnnyjazz  inierde  irasjafii kemaren sih lepas masker   juta jiwa disana vaksin dalam sepekan   an  indo kan dibawah  jiwa divaksin     maaf salah sekilas doang lihat berita nya,Kalimantan Tengah,April,23,zeerooreo jnnyjazz inierde irasjafii sih lepas masker juta jiwa disana sepekan an indo dibawah jiwa divaksin maaf salah sekilas doang lihat berita nya,zeerooreo jnnyjazz inierde irasjafii sih lepas masker juta jiwa sana pek an indo bawah jiwa vaksin maaf salah kilas doang lihat berita nya,-3,negative,2,zeerooreo jnnyjazz inierde irasjafii kemaren sih lepas masker juta jiwa sana vaksin dalam pek an indo kan bawah jiwa vaksin maaf salah kilas doang lihat berita nya
   jkjavmy tidak  https  ,Kalimantan Tengah,Mei,1,jkjavmy,jkjavmy,0,neutral,0,jkjavmy tidak
masyarakat dtng  keluhannya asam lambung  surat keterangan tidak layak vaksin  katanya  teman temannya vaksin salah faskes tidak kasih vaksin asam lambung surat keterangan ,Sulawesi Tengah,Januari,17,masyarakat dtng keluhannya asam lambung surat keterangan layak teman temannya salah faskes kasih asam lambung surat keterangan,masyarakat dtng keluh asam lambung surat terang layak teman teman salah faskes kasih asam lambung surat terang,5,positive,1,masyarakat dtng keluh asam lambung surat terang tidak layak vaksin kata teman teman vaksin salah faskes tidak kasih vaksin asam lambung surat terang
 namakumei  firdzaradiany vaksin melindungi sehat terinveksi virus   obat diberikan mengobati sakit   beda   ,Kalimantan Timur,Januari,9,namakumei firdzaradiany melindungi sehat terinveksi obat mengobati sakit beda,namakumei firdzaradiany lindung sehat terinveksi obat obat sakit beda,-5,negative,2,namakumei firdzaradiany vaksin lindung sehat terinveksi virus obat beri obat sakit beda
 ursantaclauz vaksin lokal  staff ayana pda,Bali,Mei,5,ursantaclauz lokal staff ayana pda,ursantaclauz lokal staff ayana pda,0,neutral,0,ursantaclauz vaksin lokal staff ayana pda
 sukabirubiru iyaa makannya pas baca artikel lemes bertahan tipis resiko kematian   makannya semalem temenin begadang  gatau sih kenanya faktor kucing kampung dirumah dikasih makan  emg fisik kucing lemah  emaknya hamil vaksin,DKI Jakarta,Januari,30,sukabirubiru iyaa makannya pas baca artikel lemes bertahan tipis resiko kematian makannya semalem temenin begadang gatau sih kenanya faktor kucing kampung dirumah dikasih makan emg fisik kucing lemah emaknya hamil,sukabirubiru iyaa makan pas baca artikel lemes tahan tipis resiko mati makan semalem temenin begadang gatau sih kena faktor kucing kampung rumah kasih makan emg fisik kucing lemah emaknya hamil,-3,negative,2,sukabirubiru iyaa makan pas baca artikel lemes tahan tipis resiko mati makan semalem temenin begadang gatau sih kena faktor kucing kampung rumah kasih makan emg fisik kucing lemah emaknya hamil vaksin
mah bukan efek vaksin  bawaan orok  laper pengantukan 😀 https  ,Kalimantan Timur,Juni,6,mah efek bawaan orok laper pengantukan,mah efek bawa orok laper antuk,-6,negative,2,mah bukan efek vaksin bawa orok laper antuk
vaksin tidur siang nyenyak ,Kalimantan Barat,Mei,3,tidur siang nyenyak,tidur siang nyenyak,-1,negative,2,vaksin tidur siang nyenyak
 sophroosyne smpe aman  ga ngerasain efek sih vaksin,Bali,Februari,7,sophroosyne smpe aman ga ngerasain efek sih,sophroosyne smpe aman ga ngerasain efek sih,2,positive,1,sophroosyne smpe aman ga ngerasain efek sih vaksin
giliran vaksinasi  vaksin sinovac  semoga herd imunity meningkat pandemi berakhir  https  tcotyhrrbqbtg,Banten,Maret,8,giliran sinovac semoga herd imunity meningkat pandemi tcotyhrrbqbtg,gilir sinovac moga herd imunity tingkat pandemi tcotyhrrbqbtg,-3,negative,2,gilir vaksinasi vaksin sinovac moga herd imunity tingkat pandemi akhir tcotyhrrbqbtg
niatnya  weight loss course gymtapi inget pushup plank  meanwhile lusa vaksin  oke skip  jumprope  😂😂😂😂,Banten,Maret,13,niatnya weight loss course gymtapi inget pushup plank meanwhile lusa oke skip jumprope,niat weight loss course gymtapi inget pushup plank meanwhile lusa oke skip jumprope,2,positive,1,niat weight loss course gymtapi inget pushup plank meanwhile lusa vaksin oke skip jumprope
 sa bersaksi  sa tidak disuntik vaksin   biar dikasih   tatta sa tidak   sa ambil ,DKI Jakarta,Januari,10,sa bersaksi sa disuntik biar dikasih tatta sa sa ambil,sa saksi sa suntik biar kasih tatta sa sa ambil,-1,negative,2,sa saksi sa tidak suntik vaksin biar kasih tatta sa tidak sa ambil
 hidianra sippp  tidur alasannya   abis vaksin  🤣🤣,Kalimantan Barat,Januari,5,hidianra sippp tidur alasannya habis,hidianra sippp tidur alas habis,6,positive,1,hidianra sippp tidur alas abis vaksin
percaya kinerja pemerintah melah vaksin sanak   https  ,Bengkulu,Juni,5,percaya kinerja pemerintah melah sanak,percaya kerja perintah lah sanak,4,positive,1,percaya kerja perintah lah vaksin sanak
efek vaksin ngantuk pol,Nusa Tenggara Barat,Mei,3,efek ngantuk pol,efek ngantuk pol,-2,negative,2,efek vaksin ngantuk pol
 shafeekha   lekaih dftar selpie done vaksin  my sejahtera keluar poskod weh,Aceh,Mei,9,shafeekha lekaih dftar selpie done my sejahtera poskod weh,shafeekha lekaih dftar selpie done my sejahtera poskod weh,0,neutral,0,shafeekha lekaih dftar selpie done vaksin my sejahtera keluar poskod weh
waspada provokasi  tidak perlu takut ayo vaksin https  ,Sumatera Selatan,Juni,4,waspada provokasi takut ayo,waspada provokasi takut ayo,9,positive,1,waspada provokasi tidak perlu takut ayo vaksin
 firzahusain   keknya bukan vaksin  tp toxicant,Jawa Tengah,April,3,firzahusain kayaknya toxicant,firzahusain kayak toxicant,-3,negative,2,firzahusain kek bukan vaksin tp toxicant
vaksin kipi  skrining melakukan test genose   niatnya menyiapkan tubuh sehat vaksinasi  alhamdulillah hasilnya negatif  lokasi  novotelsemarang https  ,Jawa Tengah,Juni,12,kipi skrining test genose niatnya tubuh sehat alhamdulillah hasilnya negatif lokasi novotelsemarang,kipi skrining test genose niat tubuh sehat alhamdulillah hasil negatif lokasi novotelsemarang,8,positive,1,vaksin kipi skrining laku test genose niat siap tubuh sehat vaksinasi alhamdulillah hasil negatif lokasi novotelsemarang
ikatan adhyaksa dharma karini wilayah jambi mengikuti webinar sosialisasi vaksin  virtual diikuti ketua amp  anggota iad seindonesia https  ,Jambi,April,16,ikatan adhyaksa dharma karini wilayah jambi mengikuti webinar sosialisasi virtual diikuti ketua amp anggota iad seindonesia,ikat adhyaksa dharma karini wilayah jambi ikut webinar sosialisasi virtual ikut ketua amp anggota iad indonesia,-8,negative,2,ikat adhyaksa dharma karini wilayah jambi ikut webinar sosialisasi vaksin virtual ikut ketua amp anggota iad indonesia
seriously  lps vaksin tangan lenguh oh,Aceh,Maret,4,seriously lps tangan lenguh,seriously lps tangan lenguh,-3,negative,2,seriously lps vaksin tangan lenguh oh
update   jam pasca vaksin  menggunakan astra zeneca  tidak demam  tidak pusinglemasngantuk  badan pegal sakit  area bekas suntikan sakit  ngga perubahan signifikan  sih  i feel good  ,Banten,Mei,21,update jam pasca astra zeneca demam pusinglemasngantuk badan pegal sakit area bekas suntikan sakit perubahan signifikan sih i feel good,update jam pasca astra zeneca demam pusinglemasngantuk badan pegal sakit area bekas sunti sakit ubah signifikan sih i feel good,-11,negative,2,update jam pasca vaksin guna astra zeneca tidak demam tidak pusinglemasngantuk badan pegal sakit area bekas sunti sakit ngga ubah signifikan sih i feel good
percepat vaksin kunci suksesnya penanganan pandemi   yuk disiplin prokes https  ,Kepulauan Bangka Belitung,Juni,8,percepat kunci suksesnya penanganan pandemi yuk disiplin prokes,cepat kunci sukses tangan pandemi yuk disiplin prokes,12,positive,1,cepat vaksin kunci sukses tangan pandemi yuk disiplin prokes
kenalan cerita jatah vaksin dianya tidak divaksin alasan ina  menjerit dalam hati hamba 🥲 hambok jatahmu kekno wae ceto gelem 🗣,Jawa Tengah,Mei,16,kenalan cerita jatah dianya divaksin alasan ina menjerit hati hamba hambok jatahmu kekno wae ceto gelem,kenal cerita jatah dia vaksin alas ina jerit hati hamba hambok jatah kekno wae ceto gelem,7,positive,1,kenal cerita jatah vaksin dia tidak vaksin alas ina jerit dalam hati hamba hambok jatah kekno wae ceto gelem
mari mengenal vaksin manfaatnya  https  ,Aceh,Januari,3,mari mengenal manfaatnya,mari kenal manfaat,12,positive,1,mari kenal vaksin manfaat
benda vaksin covid  damai indonesiaku https  tcoiqwskessuc,Kepulauan Bangka Belitung,Juni,4,benda damai indonesiaku tcoiqwskessuc,benda damai indonesia tcoiqwskessuc,0,neutral,0,benda vaksin covid damai indonesia tcoiqwskessuc
vaksin disik yo rek    surabaya  indonesia https  ,Jawa Timur,Mei,4,disik rek surabaya indonesia,disik rek surabaya indonesia,0,neutral,0,vaksin disik yo rek surabaya indonesia
 yayumulya habis vaksin cusss  aridhani  rinanamaku   pim 🚀🚀🚀,DKI Jakarta,April,6,yayumulya habis cusss aridhani rinanamaku pim,yayumulya habis cusss aridhani rinanamaku pim,3,positive,1,yayumulya habis vaksin cusss aridhani rinanamaku pim
 infodrakorid udah nemu vaksin zombie swag yaa noon 🤩🤩,Jawa Barat,Februari,6,infodrakorid nemu zombie swag yaa noon,infodrakorid nemu zombie swag yaa noon,-2,negative,2,infodrakorid udah nemu vaksin zombie swag yaa noon
otw membujuk bojo suntik vaksin,Jawa Tengah,Juni,9,"on the way , jalan membujuk bojo",on the way jalan bujuk bojo,0,neutral,0,otw bujuk bojo suntik vaksin
ambuambune endorse covid po mbah 😂 bar vaksin ki mbah  https  tcovassrqixdc,DI Yogyakarta,Juni,8,ambuambune endorse po mbah bar ki mbah tcovassrqixdc,ambuambune endorse po mbah bar ki mbah tcovassrqixdc,0,neutral,0,ambuambune endorse covid po mbah bar vaksin ki mbah tcovassrqixdc
terkait penerimaan vaksinasi   dosis vaksin  tahap termin  kabupatenkota provinsi jatim didistribusikan  proses distribusi dalam seninselasa   februari   doa bangsaku,Sulawesi Tenggara,Januari,15,terkait penerimaan dosis tahap termin kabupatenkota provinsi jatim didistribusikan proses distribusi seninselasa februari doa bangsaku,kait terima dosis tahap termin kabupatenkota provinsi jatim distribusi proses distribusi seninselasa februari doa bangsa,14,positive,1,kait terima vaksinasi dosis vaksin tahap termin kabupatenkota provinsi jatim distribusi proses distribusi dalam seninselasa februari doa bangsa
cegah penyebaran  vaksin  disiplin atasi pandemi https  tcoynmxsnfwjt,Kepulauan Bangka Belitung,Mei,6,cegah penyebaran disiplin atasi pandemi tcoynmxsnfwjt,cegah sebar disiplin atas pandemi tcoynmxsnfwjt,-4,negative,2,cegah sebar vaksin disiplin atas pandemi tcoynmxsnfwjt
dulolo ito mo vaksin  informasi gerai vaksin presisi polda gorontalo  temanpemilih provinsi gorontalo  https  ,Gorontalo,Januari,10,dulolo ito informasi gerai presisi polda gorontalo temanpemilih provinsi gorontalo,dulolo ito informasi gerai presisi polda gorontalo temanpemilih provinsi gorontalo,2,positive,1,dulolo ito mo vaksin informasi gerai vaksin presisi polda gorontalo temanpemilih provinsi gorontalo
 wardatulchamro  kedirifess paham sih  tujuan vaksin mung nggo golek surat keterangane wae  nggo pulang batam,Kepulauan Riau,Juni,14,wardatulchamro kedirifess paham sih tujuan mung nggo golek surat keterangane wae nggo pulang batam,wardatulchamro kedirifess paham sih tuju mung nggo golek surat keterangane wae nggo pulang batam,2,positive,1,wardatulchamro kedirifess paham sih tuju vaksin mung nggo golek surat keterangane wae nggo pulang batam
okay deh tarikh amp  vaksin  good,Kalimantan Tengah,Mei,5,okay deh tarikh amp good,okay deh tarikh amp good,9,positive,1,okay deh tarikh amp vaksin good
kasian mengurus persusah vaksin  astagaa   sungguh dzalim aturan   masyarakat dengn covid  jangn takutipersulit dengn tidak kartu vaksin  🤧,Sulawesi Tengah,Juni,13,kasian mengurus persusah astagaa sungguh dzalim aturan masyarakat dengn jangn takutipersulit dengn kartu,kasi urus susah astagaa sungguh dzalim atur masyarakat dengn jangn takutipersulit dengn kartu,-2,negative,2,kasi urus susah vaksin astagaa sungguh dzalim atur masyarakat dengn covid jangn takutipersulit dengn tidak kartu vaksin
 yumglg derita nahhh problemnya  menyandang penyakit  tidak dianjurkan vaksin berpengaruh kesehatannya    tidak  bagus berpengaruh  baiknya dikaji kembali,Sumatera Barat,Januari,13,yumglg derita nahhh problemnya menyandang penyakit dianjurkan berpengaruh kesehatannya bagus berpengaruh baiknya dikaji,yumglg derita nahhh problem sandang sakit anjur pengaruh sehat bagus pengaruh baik kaji,3,positive,1,yumglg derita nahhh problem sandang sakit tidak anjur vaksin pengaruh sehat tidak bagus pengaruh baik kaji kembali
aturan  keluar masuk ambon wajib lampirkan hasil pcr negatif kartu vaksin https  ,Maluku,Februari,9,aturan masuk ambon wajib lampirkan hasil pcr negatif kartu,atur masuk ambon wajib lampir hasil pcr negatif kartu,2,positive,1,atur keluar masuk ambon wajib lampir hasil pcr negatif kartu vaksin
janganlah vaksin frontliner  vaksin tidak berkesan  naya rakyat  je ahli politik  vaksin tu tidak berjaya  rakyat selamat ,Aceh,Januari,11,frontliner berkesan naya rakyat je ahli politik tu berjaya rakyat selamat,frontliner kesan naya rakyat je ahli politik tu jaya rakyat selamat,8,positive,1,jangan vaksin frontliner vaksin tidak kesan naya rakyat je ahli politik vaksin tu tidak jaya rakyat selamat
 mrsenci kota kupang vaksin   daftarin anak umur   besok lapangan kejati,Nusa Tenggara Timur,Maret,9,mrsenci kota kupang daftarin anak umur besok lapangan kejati,mrsenci kota kupang daftarin anak umur besok lapang kejat,4,positive,1,mrsenci kota kupang vaksin daftarin anak umur besok lapang kejat
 enokreti mwenangis niiih suntik tt reet 😭😭😭😭😭😭😭 vaksin ra menangis 🤣🤣🤣🤣🤣,DI Yogyakarta,April,7,enokreti mwenangis niiih tt reet ra menangis,enokreti mwenangis niiih tt reet ra menang,2,positive,1,enokreti mwenangis niiih suntik tt reet vaksin ra menang
 tuadiii belom aditt  didata tidak vaksin  takut hemmmm,Nusa Tenggara Barat,Maret,5,tuadiii aditt didata takut hem,tuadiii aditt data takut hem,-2,negative,2,tuadiii bom aditt data tidak vaksin takut hemmmm
vaksin  sehat × vaksin  meriang √,Jawa Timur,April,2,sehat meriang,sehat meriang,0,neutral,0,vaksin sehat vaksin meriang
wartawan vaksin ditanya penyakit penyerta  buntu,Sumatera Selatan,Maret,4,wartawan penyakit penyerta buntu,wartawan sakit serta buntu,-6,negative,2,wartawan vaksin tanya sakit serta buntu
wajib lengkap vaksin  jalani ujian saringan daki gunung kinabalu https  ,Aceh,Maret,8,wajib lengkap jalani ujian saringan daki gunung kinabalu,wajib lengkap jalan uji saring daki gunung kinabalu,-3,negative,2,wajib lengkap vaksin jalan uji saring daki gunung kinabalu
vaksin aman halal    penkostrad        asrama militer  sambueja maros https  ,Sulawesi Selatan,Maret,7,aman halal penkostrad asrama militer sambueja maros,aman halal penkostrad asrama militer sambueja maros,3,positive,1,vaksin aman halal penkostrad asrama militer sambueja maros
  min  berangkat surabaya jayapura  butuh sertifikat vaksin tes antigen  x  jam ,Papua,Februari,10,min berangkat surabaya jayapura butuh sertifikat tes antigen x jam,min berangkat surabaya jayapura butuh sertifikat tes antigen x jam,-9,negative,2,min berangkat surabaya jayapura butuh sertifikat vaksin tes antigen x jam
ayo vaksin presiden jokowi serentak melaksanakan vaksin  vaksinasimelawanpandemi https  ,Sumatera Selatan,Januari,6,ayo presiden jokowi serentak melaksanakan vaksinasimelawanpandemi,ayo presiden jokowi serentak laksana vaksinasimelawanpandemi,7,positive,1,ayo vaksin presiden jokowi serentak laksana vaksin vaksinasimelawanpandemi
 tanyainrl ayah vaksin,Sulawesi Selatan,Maret,2,tanyainrl ayah,tanyainrl ayah,0,neutral,0,tanyainrl ayah vaksin
undangan vaksin banjar  bali memang top urusan kecepatan vaksin  👍  sehatsehat semeton bali  https  ,Bali,April,9,undangan banjar bali top urusan kecepatan sehatsehat semeton bali,undang banjar bal top urus cepat sehatsehat semeton bal,10,positive,1,undang vaksin banjar bal memang top urus cepat vaksin sehatsehat semeton bal
disiplin prokes vaksin kasus  gejala happy hypoxia https  ,Kalimantan Barat,April,5,disiplin prokes gejala bahagia hypoxia,disiplin prokes gejala bahagia hypoxia,7,positive,1,disiplin prokes vaksin kasus gejala happy hypoxia
 msaiddidu biar vaksin kelas vpip,Jawa Barat,Februari,4,msaiddidu biar kelas vpip,msaiddidu biar kelas vpip,-2,negative,2,msaiddidu biar vaksin kelas vpip
 jokowi  vaksin pakai press nnti dipakai masyarakat nya ,Kalimantan Timur,Januari,7,jokowi pakai press nnti dipakai masyarakat nya,jokowi pakai press nnti pakai masyarakat nya,0,neutral,0,jokowi vaksin pakai press nnti pakai masyarakat nya
ayo vaksin https  ,Papua,Juni,1,ayo,ayo,4,positive,1,ayo vaksin
suntik vaksin pandemi diatasi penyebarannya   https  ,Sumatera Selatan,Juni,3,pandemi diatasi penyebarannya,pandemi atas sebar,-9,negative,2,suntik vaksin pandemi atas sebar
vaksin  tidak membuat kebal     vaksin memicu pembentukan daya tahan tubuh virus penyebab  risiko terinfeksi berkurang  https   https  ,Lampung,Mei,10,kebal memicu pembentukan daya tahan tubuh penyebab risiko terinfeksi berkurang,kebal picu bentuk daya tahan tubuh sebab risiko infeksi kurang,-2,negative,2,vaksin tidak buat kebal vaksin picu bentuk daya tahan tubuh virus sebab risiko infeksi kurang
vaksin berkerumun🤡,Sulawesi Tenggara,Januari,1,berkerumun,kerumun,0,neutral,0,vaksin kerumun
alhamdulillah  bloggerborneo mengikuti proses   tahap  insya allah menunggu jadwal vaksin mengikuti tahap   bloggerborneo  kamekblogger https  ,Kalimantan Barat,Januari,13,alhamdulillah bloggerborneo mengikuti proses tahap insya allah menunggu jadwal mengikuti tahap bloggerborneo kamekblogger,alhamdulillah bloggerborneo ikut proses tahap insya allah tunggu jadwal ikut tahap bloggerborneo kamekblogger,6,positive,1,alhamdulillah bloggerborneo ikut proses tahap insya allah tunggu jadwal vaksin ikut tahap bloggerborneo kamekblogger
j amp  j mohon kelulusan kecemasan vaksin   berita harian https  ,Kalimantan Tengah,Februari,8,j amp j mohon kelulusan kecemasan berita harian,j amp j mohon kelulus cemas berita hari,-3,negative,2,j amp j mohon kelulus cemas vaksin berita hari
vaksin tidak ampuh  https  ,Lampung,Januari,1,ampuh,ampuh,0,neutral,0,vaksin tidak ampuh
 iimfahima org vaksin taat protokol    tidak kena covid  serius ,Nusa Tenggara Barat,Januari,5,iimfahima taat protokol kena serius,iimfahima taat protokol kena serius,-5,negative,2,iimfahima org vaksin taat protokol tidak kena covid serius
 ondhell    snjayajonggrang  kemenkesri stiker barcode  sdh  dalam barcode data pemerintah  vaksin dipalsukan ketahuan data barcode dibandingkan dg data pemerintah ,Jawa Barat,Januari,17,ondhell snjayajonggrang kemenkesri stiker barcode sdh barcode data pemerintah dipalsukan ketahuan data barcode dibandingkan dg data pemerintah,ondhell snjayajonggrang kemenkesri stiker barcode sdh barcode data perintah palsu tahu data barcode banding dg data perintah,-2,negative,2,ondhell snjayajonggrang kemenkesri stiker barcode sdh dalam barcode data perintah vaksin palsu tahu data barcode banding dg data perintah
kjri jeddah mengungkapkan mutasi  kelangkaan vaksin salah kendala mekanisme pelaksanaan haji  dana haji terjamin  jokowi  yaqutcqoumas  kemenagri https  ,Kalimantan Utara,April,15,kjri jeddah mutasi kelangkaan salah kendala mekanisme pelaksanaan haji dana haji terjamin jokowi yaqutcqoumas kemenagri,kjri jeddah mutasi langka salah kendala mekanisme laksana haji dana haji jamin jokowi yaqutcqoumas kemenagri,-10,negative,2,kjri jeddah ungkap mutasi langka vaksin salah kendala mekanisme laksana haji dana haji jamin jokowi yaqutcqoumas kemenagri
bang    ibu menyusui tatacara vaksin  🙏,Jambi,Juni,3,bang menyusui tatacara,bang susu tatacara,-4,negative,2,bang ibu susu tatacara vaksin
 aan benar banget  ngantukan  bukan berefek ngantuk vaksin  anggakurnianta,DI Yogyakarta,Januari,6,aan banget ngantukan berefek ngantuk anggakurnianta,aan banget ngantukan efek ngantuk anggakurnianta,2,positive,1,aan benar banget ngantukan bukan efek ngantuk vaksin anggakurnianta
 galihrksiwi  kaesangp abis vaksin opo tho salah otak,Papua Barat,Maret,7,galihrksiwi kaesangp habis opo tho salah otak,galihrksiwi kaesangp habis opo tho salah otak,2,positive,1,galihrksiwi kaesangp abis vaksin opo tho salah otak
bestnya adik ayah ibu deh tarikh vaksin  tidak lepas sistem vaksin mcm puki,Aceh,Mei,9,bestnya adik ayah deh tarikh lepas sistem mcm puki,bestnya adik ayah deh tarikh lepas sistem mcm puki,-6,negative,2,bestnya adik ayah ibu deh tarikh vaksin tidak lepas sistem vaksin mcm puki
norwegia kekhawatirannya keamanan vaksin pfizer usia  meninggal  bertambah   https    medanfmnews  medanfmmakinhits    covidvaccine https  tcomymaajqara,Sumatera Utara,Januari,11,norwegia kekhawatirannya keamanan pfizer usia meninggal bertambah medanfmnews medanfmmakinhits covidvaccine tcomymaajqara,norwegia khawatir aman pfizer usia tinggal tambah medanfmnews medanfmmakinhits covidvaccine tcomymaajqara,5,positive,1,norwegia khawatir aman vaksin pfizer usia tinggal tambah medanfmnews medanfmmakinhits covidvaccine tcomymaajqara
 roosvansiaaa alhamdulillah  bapakku pulang puskesmas habis suntik vaksin  blio tidak ngerasa   semoga sehat  aamiin,Jawa Tengah,Maret,11,roosvansiaaa alhamdulillah bapakku pulang puskesmas habis blio ngerasa semoga sehat aamiin,roosvansiaaa alhamdulillah bapak pulang puskesmas habis blio ngerasa moga sehat aamiin,13,positive,1,roosvansiaaa alhamdulillah bapak pulang puskesmas habis suntik vaksin blio tidak ngerasa moga sehat aamiin
pemilik founder vaksin  biontech pfizer sbb tu ilmu bayangkan insan xkisah skor  dalam exam pastu ibu ayah diorg sokong berhentikan je skolah berpuas hati produk timbang kilo takde vaksin pfizer https  ,Sulawesi Utara,Februari,27,pemilik founder biontech pfizer tu ilmu bayangkan insan xkisah skor exam pastu ayah diorg sokong berhentikan je skolah berpuas hati produk timbang kilo takde pfizer,milik founder biontech pfizer tu ilmu bayang insan xkisah skor exam pastu ayah diorg sokong henti je skolah puas hati produk timbang kilo takde pfizer,14,positive,1,milik founder vaksin biontech pfizer sbb tu ilmu bayang insan xkisah skor dalam exam pastu ibu ayah diorg sokong henti je skolah puas hati produk timbang kilo takde vaksin pfizer
vaksin efektif mencegah penularan virus covid varian delta disiplin atasi pandemi https  ,Papua Barat,Juni,8,efektif mencegah penularan varian delta disiplin atasi pandemi,efektif cegah tular varian delta disiplin atas pandemi,-2,negative,2,vaksin efektif cegah tular virus covid varian delta disiplin atas pandemi
kedepan  prediksiku vaksin salah syarat bepergian  kerja sekolah  paleng,Sulawesi Utara,Januari,8,kedepan prediksiku salah syarat bepergian kerja sekolah paleng,depan prediksi salah syarat pergi kerja sekolah paleng,5,positive,1,depan prediksi vaksin salah syarat pergi kerja sekolah paleng
kolaborasi klub toastmasters international distrik     undangan disambut hadir berpartisipasi dalam   diskusi amp  jawab vaksin   akar buah  konfirmasi kehadiran mendaftar https   https  ,Kalimantan Tengah,Maret,16,kolaborasi klub toastmasters international distrik undangan disambut hadir berpartisipasi diskusi amp akar buah konfirmasi kehadiran mendaftar,kolaborasi klub toastmasters international distrik undang sambut hadir partisipasi diskusi amp akar buah konfirmasi hadir daftar,20,positive,1,kolaborasi klub toastmasters international distrik undang sambut hadir partisipasi dalam diskusi amp jawab vaksin akar buah konfirmasi hadir daftar
efek vaksin kepala pusing,Bali,Maret,3,efek kepala pusing,efek kepala pusing,-1,negative,2,efek vaksin kepala pusing
 faheemyounus rakyat imunitas dok  meminum obat dokter menunggu vaksin  ,Lampung,April,8,faheemyounus rakyat imunitas dok meminum obat dokter menunggu,faheemyounus rakyat imunitas dok minum obat dokter tunggu,-1,negative,2,faheemyounus rakyat imunitas dok minum obat dokter tunggu vaksin
 nuriindaahs bts tidak nampil  vaksin,Kalimantan Barat,Februari,3,nuriindaahs bts nampil,nuriindaahs bts nampil,0,neutral,0,nuriindaahs bts tidak nampil vaksin
 sakkrat diganti vaksin,Jawa Timur,Maret,2,sakkrat diganti,sakkrat ganti,3,positive,1,sakkrat ganti vaksin
 lilmillionlilly  agustus sayang  aduh lenganabis vaksin ngilu yeh 😑,Nusa Tenggara Timur,Februari,7,lilmillionlilly agustus sayang aduh lenganabis ngilu yeh,lilmillionlilly agustus sayang aduh lenganabis ngilu yeh,0,neutral,0,lilmillionlilly agustus sayang aduh lenganabis vaksin ngilu yeh
